Type Designator,Manufacturer,Model,Description,Engine Type,Engine Count,WTC,Class,Engine Number-Type,FAA Weight Class,ICAO WTC,CWT,SRS,LAHSO
P3,LOCKHEED,CP-140 Arcturus,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
P3,LOCKHEED,CP-140 Aurora,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,DC-130 Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,EC-130 Aya,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,EC-130 Sapeer,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,EC-130E Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,EC-130G Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,EC-130H Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
C130,LOCKHEED,EC-130Q Hercules,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
L10,LOCKHEED,Electra (L-10),LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
L188,LOCKHEED,Electra (L-188),LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,7
L12,LOCKHEED,Electra Junior,LandPlane,Piston,2,L,Fixed-wing,2P,S,Light,I,II,
P3,LOCKHEED,EP-3 Orion,LandPlane,Turboprop/Turboshaft,4,M,Fixed-wing,4T,L,Medium,F,III,
U2,LOCKHEED,ER-2,LandPlane,Jet,1,M,Fixed-wing,1J,S+,Medium,H,III,
P38,LOCKHEED,F-5 Lightning,LandPlane,Piston,2,M,Fixed-wing,2P,S+,Medium,H,III,
F16,LOCKHEED,F-16 Fighting Falcon,LandPlane,Jet,1,M,Fixed-wing,1J,L,Medium,G,III,
F104,LOCKHEED,F-104 Starfighter,LandPlane,Jet,1,M,Fixed-wing,1J,S+,Medium,H,III,
F16,LOCKHEED,Fighting Falcon,LandPlane,Jet,1,M,Fixed-wing,1J,L,Medium,G,III,
L37,LOCKHEED,Harpoon,LandPlane,Piston,2,M,Fixed-wing,2P,S+,Medium,H,III,
