Type Designator,Manufacturer,Model,Description,Engine Type,Engine Count,WTC,Class,Engine Number-Type,FAA Weight Class,ICAO WTC,CWT,SRS,LAHSO
DC87,MCDONNELL DOUGLAS,DC-8-70,LandPlane,Jet,4,H,Fixed-wing,4J,H,Heavy,D,III,9
DC91,MCDONNELL DOUGLAS,DC-9-10,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,8
DC92,MCDONNELL DOUGLAS,DC-9-20,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,F,III,8
DC93,MCDONNELL DOUGLAS,DC-9-30,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,F,III,8
DC94,MCDONNELL DOUGLAS,DC-9-40,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,F,III,8
DC95,MCDONNELL DOUGLAS,DC-9-50,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,F,III,8
DC10,MCDONNELL DOUGLAS,DC-10,LandPlane,Jet,3,H,Fixed-wing,3J,H,Heavy,C,III,9
H500,MCDONNELL DOUGLAS,Defender,Helicopter,Turboprop/Turboshaft,1,L,Helicopter,1T,S,Light,I,I,
F15,MCDONNELL DOUGLAS,Eagle,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
HAR,MCDONNELL DOUGLAS,EAV-8 Matador,LandPlane,Jet,1,M,Fixed-wing,1J,L,Medium,G,III,
EXPL,MCDONNELL DOUGLAS,Enforcer,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
EXPL,MCDONNELL DOUGLAS,Explorer,Helicopter,Turboprop/Turboshaft,2,L,Helicopter,2T,S,Light,I,I,
DC10,MCDONNELL DOUGLAS,Extender,LandPlane,Jet,3,H,Fixed-wing,3J,H,Heavy,C,III,9
F4,MCDONNELL DOUGLAS,F-4 Kurnass,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
F4,MCDONNELL DOUGLAS,F-4 Phantom 2,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
F15,MCDONNELL DOUGLAS,F-15 Akef,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
F18H,MCDONNELL DOUGLAS,FA-18A Hornet,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
F18H,MCDONNELL DOUGLAS,FA-18B Hornet,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
F15,MCDONNELL DOUGLAS,F-15 Baz,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
F15,MCDONNELL DOUGLAS,F-15 Eagle,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
F15,MCDONNELL DOUGLAS,F-15 Ra'am,LandPlane,Jet,2,M,Fixed-wing,2J,L,Medium,G,III,
C17,MCDONNELL DOUGLAS,Globemaster 3,LandPlane,Jet,4,H,Fixed-wing,4J,H,Heavy,C,III,
