Departure_Regex,Arrival_Regex,Route,RNAV Required,Notes
.*,KSEA,..RBL..LMT.HAWKZ STAR,TRUE,From ZOA 36/41 (Bay + SMF)
.*,KSEA,..BTG.OLM STAR,FALSE,From ZOA 36/41 (Bay + SMF)
.*,KSEA,..LKV.HAWKZ STAR,TRUE,From ZOA 41/44 (Reno)
.*,KSEA,..LMT..BTG..KRIEG.HAWKZ STAR,TRUE,From ZOA 41/44 (Reno)
.*,KPDX,..MACHU.TMBRS STAR,TRUE,From ZOA 36/41 (Bay + SMF)
.*,KPDX,..PORTL.TMBRS STAR,TRUE,From ZOA 41/44 (Reno)
.*,KPDX,..OED.OCITY STAR,FALSE,From ZOA 36/41 (Bay + SMF)
.*,KPDX,..LMT.OCITY STAR,FALSE,From ZOA 41/44 (Reno)
.*,KSLC,..BVL or ..MLF,TRUE,
.*,KSLC,..REO,FALSE,
.*,KBOI,..NEERO or ..PRNCS,TRUE,
.*,KBOI,via filed route,FALSE,
.*,KBIL,..YLSTN,TRUE,
.*,KBIL,..BAM or ..REO..DBS,FALSE,
.*,KGTF|KHLN|KMSO,..REO,FALSE,
.*,KTWF,..BAM..TWF,FALSE,
